trade_date,portfolio_return,scheme
2023-10-12,0.0015415960716559077,Inertia(2.0σ)
2023-10-13,-0.006168075750254576,Inertia(2.0σ)
2023-10-16,-0.004247298021945567,Inertia(2.0σ)
2023-10-17,-0.0015428616465624693,Inertia(2.0σ)
2023-10-18,-0.014134295892362118,Inertia(2.0σ)
2023-10-19,-0.0076884296973735115,Inertia(2.0σ)
2023-10-20,-0.004371778344191794,Inertia(2.0σ)
2023-10-23,-0.01974782933485136,Inertia(2.0σ)
2023-10-24,0.009361872233616857,Inertia(2.0σ)
2023-10-25,0.0099758123421537,Inertia(2.0σ)
2023-10-26,-0.00035841360590767774,Inertia(2.0σ)
2023-10-27,0.015968117484992415,Inertia(2.0σ)
2023-10-30,0.008305718585833465,Inertia(2.0σ)
2023-10-31,-0.0056964861710446495,Inertia(2.0σ)
2023-11-02,0.0008024732871644069,Inertia(2.0σ)
2023-11-03,0.009388996196855574,Inertia(2.0σ)
2023-11-06,0.007265172509739881,Inertia(2.0σ)
2023-11-07,0.0029729948926333406,Inertia(2.0σ)
2023-11-08,0.013326015094944984,Inertia(2.0σ)
2023-11-09,0.00026448792105299526,Inertia(2.0σ)
2023-11-10,-0.0002740437983374348,Inertia(2.0σ)
2023-11-13,0.001672531791183903,Inertia(2.0σ)
2023-11-14,0.008695378221400318,Inertia(2.0σ)
2023-11-15,0.0054077485275382696,Inertia(2.0σ)
2023-11-16,-0.010906410927840149,Inertia(2.0σ)
2023-11-17,0.007501630567226695,Inertia(2.0σ)
2023-11-20,0.02266171694633964,Inertia(2.0σ)
2023-11-21,0.06965581675694257,Inertia(2.0σ)
2023-11-22,0.11434213224712547,Inertia(2.0σ)
2023-11-23,-0.0012335490136888025,Inertia(2.0σ)
2023-11-24,0.08057193396307638,Inertia(2.0σ)
2023-11-27,0.11120903510288135,Inertia(2.0σ)
2023-11-28,-0.003462752398662981,Inertia(2.0σ)
2023-11-29,-0.06639731322894593,Inertia(2.0σ)
2023-11-30,-0.0017115105901909869,Inertia(2.0σ)
2023-12-04,-0.009122777262085513,Inertia(2.0σ)
2023-12-05,0.06457001587230161,Inertia(2.0σ)
2023-12-06,-0.004392262663847402,Inertia(2.0σ)
2023-12-07,0.03671284790424514,Inertia(2.0σ)
2023-12-08,-0.002473739267787854,Inertia(2.0σ)
2023-12-11,-0.020839981300287174,Inertia(2.0σ)
2023-12-12,0.04392838618276026,Inertia(2.0σ)
2023-12-13,0.038217310339951904,Inertia(2.0σ)
2023-12-14,0.0130894694977341,Inertia(2.0σ)
2023-12-15,0.004123025287600431,Inertia(2.0σ)
2023-12-18,0.02136439719176871,Inertia(2.0σ)
2023-12-19,-0.0004915794721734498,Inertia(2.0σ)
2023-12-20,0.007336656209910094,Inertia(2.0σ)
2023-12-21,-0.06602164871178515,Inertia(2.0σ)
2023-12-22,0.003568788856357304,Inertia(2.0σ)
2023-12-25,0.030294226513348246,Inertia(2.0σ)
2023-12-26,0.02057934124076044,Inertia(2.0σ)
2023-12-27,-0.015796630854595765,Inertia(2.0σ)
2023-12-28,0.0054933530436566125,Inertia(2.0σ)
2023-12-29,0.02322729473512717,Inertia(2.0σ)
2024-01-03,0.0005229032309657042,Inertia(2.0σ)
2024-01-04,0.0010649863664995132,Inertia(2.0σ)
